date,measure,value
2014-08-01,m3_total,1497171.2812732602
2014-08-01,m1_total,322962.38100526
2014-08-01,m3_deposit_other,16337.040127000306
2014-08-01,m2_repo,1033.370012
2014-08-01,m2_deposit_saving,134136.58483
2014-08-01,m2_total,1480834.24114626
2014-08-01,m2_nid,20785.846823
2014-08-01,m1_currency,66890.93378025999
2014-08-01,m1_deposit_demand,256071.447225
2014-08-01,m2_deposit_other,223234.18204200006
2014-08-01,m2_deposit_fx,91165.973363
2014-09-01,m3_deposit_other,13678.116501000244
2014-09-01,m2_nid,21676.682545
2014-09-01,m2_deposit_fixed,687702.447774
2014-09-01,m1_total,330415.5280788299
2014-09-01,m2_deposit_other,226199.19712899998
2014-09-01,m2_deposit_saving,134290.67480500002
2014-09-01,m2_total,1492807.26053283
2014-09-01,m1_currency,65701.74840583
2014-09-01,m1_deposit_demand,264713.779673
2014-09-01,m2_repo,0.0
2014-09-01,m2_deposit_fx,92522.73020099998
2014-09-01,m3_total,1506485.3770338302
2014-10-01,m2_nid,23835.857914999993
2014-10-01,m3_total,1519719.9870700599
2014-10-01,m2_deposit_other,231528.628109
2014-10-01,m2_total,1504906.79754106
2014-10-01,m2_deposit_fx,90696.56818999998
2014-10-01,m2_deposit_fixed,698886.883784
2014-10-01,m1_deposit_demand,261620.47905800003
2014-10-01,m2_repo,0.0
2014-10-01,m1_total,327548.6129930601
2014-10-01,m1_currency,65928.13393505999
2014-10-01,m2_deposit_saving,132410.24654999998
2014-10-01,m3_deposit_other,14813.18952899985
2014-11-01,m2_total,1517095.9516956501
2014-11-01,m3_deposit_other,13632.057770999847
2014-11-01,m3_total,1530728.00946665
2014-11-01,m1_deposit_demand,263756.905824
2014-11-01,m2_repo,0.0
2014-11-01,m1_total,330932.83105765004
2014-11-01,m2_deposit_other,230512.60767199998
2014-11-01,m2_deposit_saving,131721.43416900001
2014-11-01,m2_deposit_fixed,707468.7383800001
2014-11-01,m2_nid,25269.589058
2014-11-01,m1_currency,67175.92523364999
2014-11-01,m2_deposit_fx,91190.751359
2014-12-01,m1_deposit_demand,278245.841085
2014-12-01,m2_deposit_saving,134931.368262
2014-12-01,m2_deposit_other,229394.94576799995
2014-12-01,m2_total,1544159.99998931
2014-12-01,m2_deposit_fixed,712239.578768
2014-12-01,m2_nid,24707.607026999995
2014-12-01,m2_deposit_fx,96274.982815
2014-12-01,m2_repo,195.6604
2014-12-01,m3_total,1557612.31459431
2014-12-01,m1_total,346415.85694931
2014-12-01,m1_currency,68170.01586430999
2014-12-01,m3_deposit_other,13452.314604999963
2015-01-01,m1_total,346300.43497325
2015-01-01,m2_deposit_saving,137074.414281
2015-01-01,m2_deposit_other,223530.295597
2015-01-01,m2_deposit_fixed,715856.8315899998
2015-01-01,m2_nid,25596.620524
2015-01-01,m2_total,1545765.70036925
2015-01-01,m2_repo,0.0
2015-01-01,m2_deposit_fx,97407.10340400001
2015-01-01,m3_total,1557187.6932472503
2015-01-01,m1_currency,71144.00664025
2015-01-01,m3_deposit_other,11421.992878000252
2015-01-01,m1_deposit_demand,275156.42833300005
2015-02-01,m3_total,1564038.1241608397
2015-02-01,m3_deposit_other,11910.920830999501
2015-02-01,m2_deposit_fx,100710.443547
2015-02-01,m1_deposit_demand,276619.7812290001
2015-02-01,m2_deposit_other,211170.77905100002
2015-02-01,m1_currency,74812.26859384
2015-02-01,m2_repo,46.134217
2015-02-01,m2_total,1552127.20332984
2015-02-01,m2_deposit_fixed,724818.7973399999
2015-02-01,m2_nid,24917.718404000003
2015-02-01,m1_total,351432.0498228401
2015-02-01,m2_deposit_saving,139031.280948
2015-03-01,m2_deposit_other,214368.20200300004
2015-03-01,m2_total,1583077.52282843
2015-03-01,m1_total,360340.52635943005
2015-03-01,m3_total,1592558.6701514302
2015-03-01,m2_deposit_saving,138643.702239
2015-03-01,m3_deposit_other,9481.147323000245
2015-03-01,m2_repo,46.134217
2015-03-01,m2_deposit_fx,111906.61738300002
2015-03-01,m1_deposit_demand,288090.19797100005
2015-03-01,m2_deposit_fixed,733497.156319
2015-03-01,m2_nid,24275.184308
2015-03-01,m1_currency,72250.32838842999
2015-04-01,m1_currency,72771.78518532001
2015-04-01,m3_total,1583131.69299332
2015-04-01,m2_deposit_fixed,738167.1880230001
2015-04-01,m3_deposit_other,10972.370368999662
2015-04-01,m1_total,351905.53964632
2015-04-01,m1_deposit_demand,279133.754461
2015-04-01,m2_nid,22210.688211000004
2015-04-01,m2_deposit_other,210961.52641800002
2015-04-01,m2_deposit_fx,109175.32375599998
2015-04-01,m2_deposit_saving,139692.922353
2015-04-01,m2_total,1572159.3226243204
2015-04-01,m2_repo,46.134217
2015-05-01,m2_deposit_saving,133983.988055
2015-05-01,m2_total,1567577.17818791
2015-05-01,m1_currency,73699.98512991
2015-05-01,m2_deposit_other,205459.164294
2015-05-01,m2_deposit_fx,113030.046835
