date,category,variable,value
2002-01-01,budget,spending_de_net,35069
2002-01-01,budget,spending_de_gross,35977
2002-01-01,budget,spending_oe,68699
2002-01-01,budget,revenue,83515
2002-01-01,budget,balance,-20253
2003-01-01,budget,balance,-20928
2003-01-01,financing,asset_use,1342
2003-01-01,financing,foreign_net,-3664
2003-01-01,financing,foreign_gross,3190
2003-01-01,financing,domestic_net,23250
2003-01-01,financing,domestic_gross,41850
2003-01-01,budget,spending_covid19,0
2003-01-01,budget,spending_de_net,38312
2003-01-01,budget,spending_de_gross,39353
2003-01-01,budget,spending_oe,75224
2003-01-01,budget,revenue,92608
2004-01-01,budget,revenue,99397
2004-01-01,budget,balance,-19419
2004-01-01,financing,foreign_net,121
2004-01-01,financing,asset_use,-6352
2004-01-01,financing,foreign_gross,1136
2004-01-01,financing,domestic_net,25650
2004-01-01,financing,domestic_gross,45850
2004-01-01,budget,spending_covid19,0
2004-01-01,budget,spending_de_net,27518
2004-01-01,budget,spending_de_gross,28864
2004-01-01,budget,spending_oe,91298
2005-01-01,budget,spending_oe,97744
2005-01-01,budget,revenue,106304
2005-01-01,budget,balance,-18724
2005-01-01,financing,asset_use,9527
2005-01-01,financing,foreign_net,-3503
2005-01-01,financing,foreign_gross,651
2005-01-01,financing,domestic_net,12700
2005-01-01,financing,domestic_gross,31500
2005-01-01,budget,spending_covid19,0
2005-01-01,budget,spending_de_net,27284
2005-01-01,budget,spending_de_gross,30534
2006-01-01,budget,spending_oe,107694
2006-01-01,budget,spending_de_gross,35807
2006-01-01,budget,revenue,123546
2006-01-01,budget,balance,-19109
2006-01-01,financing,asset_use,4413
2006-01-01,financing,foreign_net,-3054
2006-01-01,financing,foreign_gross,834
2006-01-01,financing,domestic_net,17750
2006-01-01,financing,domestic_gross,36100
2006-01-01,budget,spending_de_net,34961
2006-01-01,budget,spending_covid19,0
2007-01-01,budget,spending_de_net,37460
2007-01-01,budget,spending_de_gross,40564
2007-01-01,budget,spending_oe,123084
2007-01-01,budget,revenue,139885
2007-01-01,budget,balance,-20659
2007-01-01,financing,asset_use,-827
2007-01-01,financing,foreign_net,-4314
2007-01-01,financing,foreign_gross,489
2007-01-01,financing,domestic_gross,54081
2007-01-01,financing,domestic_net,25800
2007-01-01,budget,spending_covid19,0
2008-01-01,budget,spending_covid19,0
2008-01-01,budget,spending_de_net,41889
2008-01-01,budget,spending_de_gross,42847
2008-01-01,budget,spending_oe,153499
2008-01-01,budget,revenue,159793
2008-01-01,budget,balance,-35594
2008-01-01,financing,asset_use,414
2008-01-01,financing,foreign_gross,472
2008-01-01,financing,foreign_net,-474
2008-01-01,financing,domestic_net,35654
2008-01-01,financing,domestic_gross,60000
2009-01-01,financing,domestic_gross,93500
2009-01-01,budget,spending_covid19,0
2009-01-01,budget,spending_de_net,48997
2009-01-01,budget,spending_de_gross,49515
2009-01-01,budget,spending_oe,157067
2009-01-01,budget,revenue,158639
2009-01-01,financing,asset_use,-3171
2009-01-01,budget,balance,-47424
2009-01-01,financing,foreign_net,-6286
2009-01-01,financing,foreign_gross,451
2009-01-01,financing,domestic_net,56879
2010-01-01,financing,domestic_net,36456
2010-01-01,financing,domestic_gross,60499
2010-01-01,budget,spending_covid19,0
2010-01-01,budget,spending_de_net,51296
2010-01-01,budget,spending_de_gross,52792
2010-01-01,budget,spending_oe,151633
2010-01-01,budget,revenue,159653
2010-01-01,budget,balance,-43275
2010-01-01,financing,asset_use,3125
2010-01-01,financing,foreign_net,3664
2010-01-01,financing,foreign_gross,4495
2011-01-01,financing,foreign_gross,6469
2011-01-01,financing,domestic_net,45069
2011-01-01,financing,domestic_gross,93312
2011-01-01,budget,spending_covid19,0
2011-01-01,budget,spending_de_gross,46416
2011-01-01,budget,spending_de_net,45334
2011-01-01,budget,spending_oe,182594
2011-01-01,budget,revenue,185419
2011-01-01,budget,balance,-42509
2011-01-01,financing,asset_use,-3110
2011-01-01,financing,foreign_net,550
2012-01-01,financing,foreign_net,-14
2012-01-01,financing,foreign_gross,684
2012-01-01,financing,domestic_net,43344
2012-01-01,budget,spending_covid19,0
2012-01-01,financing,domestic_gross,96244
2012-01-01,budget,spending_de_net,44326
2012-01-01,budget,spending_de_gross,46932
2012-01-01,budget,spending_oe,205537
2012-01-01,budget,revenue,207913
2012-01-01,budget,balance,-41951
2012-01-01,financing,asset_use,-2899
2013-01-01,financing,asset_use,-747
2013-01-01,financing,foreign_net,-221
2013-01-01,financing,domestic_net,39526
2013-01-01,financing,foreign_gross,413
2013-01-01,financing,domestic_gross,100457
2013-01-01,budget,spending_covid19,0
2013-01-01,budget,spending_de_net,40683
2013-01-01,budget,spending_de_gross,42210
2013-01-01,budget,spending_oe,211270
2013-01-01,budget,revenue,213370
2013-01-01,budget,balance,-38584
2014-01-01,budget,balance,-37414
2014-01-01,financing,foreign_net,-356
2014-01-01,financing,asset_use,208
2014-01-01,financing,foreign_gross,277
2014-01-01,financing,domestic_net,37557
2014-01-01,financing,domestic_gross,90740
2014-01-01,budget,spending_covid19,0
2014-01-01,budget,spending_de_net,38451
2014-01-01,budget,spending_de_gross,39503
2014-01-01,budget,spending_oe,219589
2014-01-01,budget,revenue,220626
2015-01-01,budget,revenue,219089
2015-01-01,budget,balance,-37194
2015-01-01,financing,asset_use,-2464
2015-01-01,financing,foreign_net,727
2015-01-01,financing,foreign_gross,5560
2015-01-01,financing,domestic_net,38931
2015-01-01,financing,domestic_gross,95253
2015-01-01,budget,spending_covid19,0
2015-01-01,budget,spending_de_net,39285
2015-01-01,budget,spending_de_gross,40768
2015-01-01,budget,spending_oe,216998
2016-01-01,budget,spending_oe,210173
2016-01-01,budget,revenue,212421
2016-01-01,budget,balance,-38400
2016-01-01,financing,asset_use,-294
2016-01-01,financing,foreign_net,835
2016-01-01,financing,foreign_gross,5982
2016-01-01,financing,domestic_net,37859
2016-01-01,financing,domestic_gross,86000
2016-01-01,budget,spending_de_net,40648
2016-01-01,budget,spending_covid19,0
2016-01-01,budget,spending_de_gross,41995
2017-01-01,budget,spending_de_gross,44884
2017-01-01,budget,spending_oe,217695
2017-01-01,budget,revenue,220406
2017-01-01,budget,balance,-40321
2017-01-01,financing,asset_use,-87
2017-01-01,financing,foreign_net,-342
2017-01-01,financing,foreign_gross,63
2017-01-01,financing,domestic_net,40750
2017-01-01,financing,domestic_gross,113916
2017-01-01,budget,spending_covid19,0
2017-01-01,budget,spending_de_net,43032
2018-01-01,budget,spending_de_net,55307
2018-01-01,budget,spending_de_gross,56095
2018-01-01,budget,spending_oe,230960
2018-01-01,budget,balance,-53385
2018-01-01,budget,revenue,232883
2018-01-01,financing,asset_use,1732
2018-01-01,financing,foreign_gross,36
2018-01-01,financing,foreign_net,-320
2018-01-01,financing,domestic_net,51973
2018-01-01,financing,domestic_gross,114800
2018-01-01,budget,spending_covid19,0
2019-01-01,budget,spending_covid19,0
2019-01-01,budget,spending_de_net,52570
2019-01-01,budget,spending_de_gross,54173
2019-01-01,budget,spending_oe,263343
2019-01-01,budget,revenue,264415
2019-01-01,financing,asset_use,-2166
2019-01-01,budget,balance,-51498
2019-01-01,financing,foreign_net,6977
2019-01-01,financing,foreign_gross,7304
2019-01-01,financing,domestic_net,46688
2019-01-01,financing,domestic_gross,115700
2020-01-01,financing,domestic_gross,152582
2020-01-01,budget,spending_de_net,50101
2020-01-01,budget,spending_covid19,38019
2020-01-01,budget,spending_de_gross,51360
2020-01-01,budget,spending_oe,224600
2020-01-01,budget,revenue,225076
2020-01-01,budget,balance,-87644
2020-01-01,financing,foreign_net,-330
2020-01-01,financing,asset_use,11925
2020-01-01,financing,foreign_gross,0
2020-01-01,financing,domestic_net,76051
2021-01-01,financing,domestic_net,86300
2021-01-01,financing,domestic_gross,163860
2021-01-01,budget,spending_covid19,37711
2021-01-01,budget,spending_de_net,63282
2021-01-01,budget,spending_de_gross,64257
2021-01-01,budget,spending_oe,231516
2021-01-01,budget,revenue,233752
2021-01-01,budget,balance,-98757
2021-01-01,financing,asset_use,10723
2021-01-01,financing,foreign_net,1734
2021-01-01,financing,foreign_gross,5277
2022-01-01,financing,foreign_gross,0
2022-01-01,financing,domestic_net,96494
2022-01-01,financing,domestic_gross,171500
2022-01-01,budget,spending_covid19,30979
2022-01-01,budget,spending_de_net,70167
2022-01-01,budget,spending_de_gross,71574
2022-01-01,budget,spending_oe,292693
2022-01-01,budget,revenue,294357
2022-01-01,budget,balance,-99482
2022-01-01,financing,asset_use,3254
2022-01-01,financing,foreign_net,-266
2023-01-01,financing,foreign_net,-248
2023-01-01,financing,foreign_gross,0
2023-01-01,financing,domestic_net,104080
2023-01-01,financing,domestic_gross,190910
2023-01-01,budget,spending_covid19,0
2023-01-01,budget,spending_de_net,95084
2023-01-01,budget,spending_de_gross,96091
2023-01-01,budget,spending_oe,311267
2023-01-01,budget,revenue,314960
2023-01-01,budget,balance,-91391
2023-01-01,financing,asset_use,-12441
