date,bank,rate,value
2000-06-01,commercial,fdr_9mo,3.5
2000-06-01,investment,fdr_6mo,3.19
2000-06-01,commercial,fdr_1mo,3.21
2000-06-01,commercial,walr,7.743128437613864
2000-06-01,investment,fdr_1mo,2.89
2000-06-01,investment,fdr_3mo,3.0500000000000003
2000-06-01,commercial,fdr_6mo,3.33
2000-06-01,investment,fdr_9mo,3.43
2000-06-01,commercial,sr,2.68
2000-06-01,investment,fdr_12mo,3.85
2000-06-01,commercial,fdr_3mo,3.2600000000000002
2000-06-01,investment,alr,7.25
2000-06-01,commercial,blr,6.76
2000-06-01,commercial,fdr_12mo,3.91
2000-07-01,commercial,blr,6.75
2000-07-01,commercial,alr,7.66
2000-07-01,commercial,fdr_9mo,3.51
2000-07-01,commercial,walr,7.598169112704412
2000-07-01,investment,fdr_6mo,3.19
2000-07-01,commercial,fdr_1mo,3.21
2000-07-01,investment,fdr_3mo,3.06
2000-07-01,commercial,fdr_12mo,3.9
2000-07-01,commercial,fdr_6mo,3.33
2000-07-01,investment,fdr_1mo,2.94
2000-07-01,investment,fdr_9mo,3.2
2000-07-01,commercial,sr,2.69
2000-07-01,commercial,fdr_3mo,3.2600000000000002
2000-07-01,investment,fdr_12mo,3.75
2000-07-01,investment,alr,7.23
2000-08-01,commercial,blr,6.76
2000-08-01,commercial,fdr_9mo,3.75
2000-08-01,investment,fdr_6mo,3.5
2000-08-01,commercial,alr,7.65
2000-08-01,commercial,fdr_1mo,3.43
2000-08-01,commercial,walr,7.674780231210743
2000-08-01,commercial,fdr_12mo,4.25
2000-08-01,commercial,fdr_6mo,3.55
2000-08-01,investment,fdr_3mo,3.19
2000-08-01,investment,fdr_1mo,3.12
2000-08-01,investment,fdr_9mo,0.0
2000-08-01,commercial,sr,2.81
2000-08-01,investment,fdr_12mo,4.13
2000-08-01,investment,alr,7.34
2000-08-01,commercial,fdr_3mo,3.47
2000-09-01,commercial,fdr_3mo,3.48
2000-09-01,investment,alr,7.29
2000-09-01,investment,fdr_9mo,3.4
2000-09-01,commercial,blr,6.76
2000-09-01,investment,fdr_6mo,3.2
2000-09-01,commercial,fdr_9mo,3.75
2000-09-01,commercial,alr,7.6000000000000005
2000-09-01,commercial,walr,7.611193451534641
2000-09-01,commercial,fdr_1mo,3.45
2000-09-01,commercial,fdr_12mo,4.25
2000-09-01,investment,fdr_3mo,3.22
2000-09-01,commercial,fdr_6mo,3.55
2000-09-01,investment,fdr_1mo,3.11
2000-09-01,commercial,sr,2.82
2000-09-01,investment,fdr_12mo,4.13
2000-10-01,commercial,fdr_3mo,3.48
2000-10-01,investment,fdr_12mo,4.2
2000-10-01,commercial,alr,7.6000000000000005
