company,state,postcode,address,poison,non_poison,traditional,health_supplement,poison_vet,non_poison_vet
CHOON HUA TRADING CORPORATION SDN BHD,Sarawak,93050,"LOT 822, BLOCK 7, LORONG DEMAK LAUT 3, MTLD DEMAK LAUT INDUSTRIAL PARK",0,1,1,1,0,0
CHOP ENG SENG CHAN MEDICAL HALL,Kelantan,15000,"3572, JALAN ISMAIL,",0,1,0,1,0,0
Chop Tan Seng Hong,Terengganu,20000,"1-B, Jalan Sultan Zainal Abidin",0,1,0,1,0,0
CHUA & CHUA TRADING,Sarawak,98000,"LOT 1438, HOLIDAY PARK JALAN BAKAM",0,1,0,1,0,0
CHUA TONGSAN SDN. BHD.,Johor,84000,"NO. 23, JALAN HASSAN",0,0,1,0,0,0
Citraria Health & Cosmetics Marketing Sdn. Bhd.,Negeri Sembilan,70450,"NO. 2883, JALAN SJ 3/6C TAMAN SEREMBAN JAYA",0,1,0,1,0,0
CITYMEDIC SDN BHD,Melaka,75400,"NO. 3 & 3-1, JALAN LAGENDA 3 TAMAN 1 LAGENDA",0,0,1,1,0,0
CK DISTRIBUTORS SDN BHD,Sarawak,98100,"LOT 3404, PERMYJAYA TECHNOLOGY PARK BANDAR BARU PERMYJAYA",0,1,1,1,0,0
CL SU PHARMACY SDN BHD,Sarawak,98000,"1812, GROUND AND FIRST FLOOR JALAN OLEANDER",1,1,1,1,0,1
CL TAN RESOURCES (M) SDN. BHD,Johor,81100,"23, JALAN PERNIAGAAN SETIA 1/1 TAMAN PERNIAGAAN SETIA",0,1,1,1,0,0
CLF TRADING SDN BHD,Pahang,25200,"NO. 27, JALAN IM 3/1 KAWASAN PERINDUSTRIAN BANDAR INDERA MAHKOTA",0,1,0,1,0,0
Clover Pharmacy Sdn Bhd,Sarawak,98000,"G/F & 1ST FLOOR, LOT 3064, BLOCK 1, LLD MORSJAYA COMMERCIAL CENTRE",1,0,0,0,0,0
