reg_no,product,description,holder,manufacturer,date_reg,date_end
MAL20032006TC,CONFORER TEA,NATURAL PRODUCT,CONFORER MEDI CARE  ENTERPRISE,WHITE HERON PHARMACEUTICAL SDN. BHD.,2018-01-27,2023-01-27
MAL13015026TC,ROYAL Bird's Nest EBN  Kacip Fatimah,NATURAL PRODUCT,ROYAL BIRD`S NEST SDN. BHD.,HERBAL SCIENCE SDN. BHD.,2018-01-30,2023-01-30
MAL13015024TC,ROYAL Bird's Nest EBN  Tongkat Ali,NATURAL PRODUCT,ROYAL BIRD`S NEST SDN. BHD.,HERBAL SCIENCE SDN. BHD.,2018-01-30,2023-01-30
MAL18016066AE,hovid-Valproate Liquid 200mg/5ml,PRESCRIPTION,HOVID BERHAD,HOVID BERHAD,2018-01-30,2023-01-30
MAL08010795TC,actiSPORTS ACTI LITE BBR Capsule,NATURAL PRODUCT,BIO-SCIENCE MANUFACTURING SDN BHD,BIO-SCIENCE MANUFACTURING SDN BHD,2018-02-02,2023-02-02
MAL18026048NC,guardian omega-3 fish oil 1000mg  softgel capsule,HEALTH SUPPLEMENT,GUARDIAN HEALTH AND BEAUTY SDN. BHD.,GMP PHARMACEUTICALS LTD,2018-02-05,2023-02-05
MAL18026041NC,nourbell NAC 100MG PLUS Vit C Powder,HEALTH SUPPLEMENT,NOURBELL SDN BHD,I MEDIKEL PHARMACEUTICAL SDN. BHD.,2018-02-05,2023-02-05
MAL18026134TC,EnCi Health Herbs Capsule,NATURAL PRODUCT,RAPHA LIFE HERBS SDN. BHD.,EXCEL HERBAL INDUSTRIES SDN. BHD.,2018-02-19,2023-02-19
MAL18036198TCE,TDB 24 CAPSULES,NATURAL PRODUCT,C S Z WORLDWIDE SDN. BHD.,NATURE PACK ENTERPRISE,2018-03-01,2023-03-01
MAL13025001T,CAP TIGA SEGI Air Melegakan Kepanasan Badan,NATURAL PRODUCT,KNK BEVERAGE INDUSTRY (M) SDN BHD,KNK BEVERAGE INDUSTRY (M) SDN BHD,2018-03-01,2023-03-01
MAL18036108TC,NAURA KAPSUL HABBATUS SAUDA 400MG,NATURAL PRODUCT,NAURA HEALTHCARE,SYAMELATI INDUSTRIES SDN. BHD.,2018-03-01,2023-03-01
MAL20132282TE,ANLIQ,NATURAL PRODUCT,DOT GREEN LIFESCIENCES SDN. BHD.,DOT GREEN LIFESCIENCES SDN. BHD.,2018-03-02,2023-03-02
MAL19984348ACZ,KLACID TABLET 500MG,NEW CHEMICAL ENTITY,ABBOTT LABORATORIES (M) SDN. BHD.,Aesica Queenborough Limited,2018-03-02,2023-03-02
MAL20132288XC,ALAnerv softgel capsule,HEALTH SUPPLEMENT,EP PLUS GROUP SDN. BHD.,IBSA Farmaceutici Italia S.r.l,2018-03-15,2023-03-15
MAL18036160TC,Clear Pinkish Pearl 350mg Capsule,NATURAL PRODUCT,CLEARBEAUTY RESOURCES,DS Pharma Herbs Sdn. Bhd.,2018-03-21,2023-03-21
MAL19861163AZ,CAMITON TABLET 4MG,PRESCRIPTION,CHULIA PHARMA SDN BHD,CHULIA PHARMA SDN BHD,2018-03-22,2023-03-22
MAL20032334TC,PHARMANEX CORDYMAX CS-4,NATURAL PRODUCT,NU SKIN (MALAYSIA) SDN. BHD.,CORNERSTONE RESEARCH & DEVELOPMENT INC.,2018-03-24,2023-03-24
MAL20032383XC,CALTRATE 600 PLUS,HEALTH SUPPLEMENT,Haleon Malaysia Sdn. Bhd.,WYETH PHARMACEUTICAL CO. LTD,2018-03-24,2023-03-24
MAL20032382XC,CALTRATE 600 + D,HEALTH SUPPLEMENT,Haleon Malaysia Sdn. Bhd.,WYETH PHARMACEUTICAL CO. LTD,2018-03-24,2023-03-24
MAL13035025TC,Kapsul Resdung Cap Burung Unta,NATURAL PRODUCT,Kasawari Maju Enterprise,SABIT BANANI INDUSTRIES SDN BHD,2018-04-02,2023-04-02
MAL18046023HAC,COLIVET 2MIU/G WATER SOLUBLE POWDER,VETERINARY ,Lim Seng Pharmachem Sdn Bhd,Thye Pharma Sdn. Bhd,2018-04-02,2023-04-02
MAL18046039NC,OJO+ CONI CAPSULES,HEALTH SUPPLEMENT,CONI BEAUTY,NUTROGREEN HEALTH INDUSTRIES SDN BHD,2018-04-04,2023-04-04
MAL18046123TE,BIOTROPICS OPTIMAN CAPSULE,NATURAL PRODUCT,Biotropics Malaysia Berhad,PHYTES BIOTEK SDN. BHD.,2018-04-12,2023-04-12
MAL19910960XRZ,ZENTEL TABLET 200MG (CHINA),NON PRESCRIPTION,Haleon Malaysia Sdn. Bhd.,TIANJIN SKF LABS LTD,2018-04-23,2023-04-23
MAL08031441TC,Minyak Ibu Gamat Asli Plus,NATURAL PRODUCT,Sireh Lagenda Industries Sdn.bhd.,PENAWAR INDUSTRIES SDN. BHD.,2018-04-23,2023-04-23
MAL18046125X,UMETGESIC Ointment,NON PRESCRIPTION,CHULIA PHARMA SDN BHD,CHULIA PHARMA SDN BHD,2018-04-23,2023-04-23
MAL19880329ACRZ,MIACALCIC 50IU AMPOULES,NEW CHEMICAL ENTITY,ZUELLIG PHARMA SDN. BHD.,NOVARTIS PHARMA STEIN AG,2018-04-26,2023-04-26
MAL19880328ACRZ,MIACALCIC 100IU AMPOULES,NEW CHEMICAL ENTITY,ZUELLIG PHARMA SDN. BHD.,NOVARTIS PHARMA STEIN AG,2018-04-26,2023-04-26
MAL19985412T,PIL BERSIDA,NATURAL PRODUCT,Borobudur Herbal Sdn Bhd,PT INDUSTRI JAMU BOROBUDUR,2018-04-28,2023-04-28
MAL13045032TR,PhytoFigor,NATURAL PRODUCT,MISB RESOURCES SDN. BHD.,MISB RESOURCES SDN. BHD.,2018-04-30,2023-04-30
MAL13045027T,UBAT DEMAM MAO DAN,NATURAL PRODUCT,Sin Hup Heng Medicine Manufacturing Sdn Bhd,Sin Hup Heng Medicine Manufacturing Sdn Bhd,2018-04-30,2023-04-30
MAL13045016NC,Shaklee® PHYTOCOL-ST,HEALTH SUPPLEMENT,SHAKLEE PRODUCTS (MALAYSIA) SDN. BHD.,DESERET LABS INC,2018-04-30,2023-04-30
MAL08042414TC,Qian Li Zhui Feng You -Liquid (Shou Hsing Brand),NATURAL PRODUCT,CHUA TONGSAN SDN. BHD.,BIOFACT LIFE SDN. BHD.,2018-05-01,2023-05-01
MAL18056024TC,DOC.A Virgin Coconut Oil 500MG Softgel,NATURAL PRODUCT,BELLADONNA BEAUTY SDN BHD,HIGH VALLEY CONTRACT MANUFACTURING (GMP) SDN. BHD.,2018-05-02,2023-05-02
MAL18056061TCE,S11 Kacip Fatimah Plus Capsules,NATURAL PRODUCT,CONCORD TRADING SDN. BHD.,FARMINA BIO PLUS INDUSTRIES & CONSULTANTS SDN. BHD.,2018-05-02,2023-05-02
MAL18056140NC,Guardian Vitamin E 400IU Softgels,HEALTH SUPPLEMENT,GUARDIAN HEALTH AND BEAUTY SDN. BHD.,GMP PHARMACEUTICALS LTD,2018-05-23,2023-05-23
MAL13045030TC,ALTAMIS HABBATUS SAUDA,NATURAL PRODUCT,SPECTRUM TECHNOLOGIES & SERVICES,Dong Foong Manufacturing Sdn Bhd,2018-05-31,2023-05-31
MAL08051593TC,Tai Fong Aloe Vera Cream Plus,NATURAL PRODUCT,WELLMINN TRADING,KIEN ONN FOH HERBAL WORKS SDN BHD,2018-05-31,2023-05-31
MAL18056158ACRE,hovid-Entecavir Tablet 0.5mg,PRESCRIPTION,HOVID BERHAD,RA Chem Pharma Ltd,2018-05-31,2023-05-31
MAL20132303AEZ,NORETONE TABLET,PRESCRIPTION,CHULIA PHARMA SDN BHD,CHULIA PHARMA SDN BHD,2018-05-31,2023-05-31
MAL18056159ACRE,hovid-Entecavir Tablet 1mg,PRESCRIPTION,HOVID BERHAD,RA Chem Pharma Ltd,2018-05-31,2023-05-31
MAL13055007TC,Herba Buasir Bumiku,NATURAL PRODUCT,Warisan Bumiku Enterprise,PENAWAR INDUSTRIES SDN BHD,2018-05-31,2023-05-31
MAL13055035TC,GINSENG PLUS PAI FENG WAN (GREATWALL BRAND),NATURAL PRODUCT,GREATWALL TRADING COMPANY,Sin Hup Heng Medicine Manufacturing Sdn Bhd,2018-05-31,2023-05-31
MAL19984415XZ,PARAMOL 250 SUSPENSION (BANANA FLAVOUR),NON PRESCRIPTION,CHULIA PHARMA SDN BHD,CHULIA PHARMA SDN BHD,2018-06-01,2023-06-01
MAL19860663AZ,NEOBACT CREAM 0.5%,PRESCRIPTION,CHULIA PHARMA SDN BHD,CHULIA PHARMA SDN BHD,2018-06-01,2023-06-01
